month	title	m_facebook	n_facebook	url	category
01	보온 안되는 기능성 발열내의	21	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50188&year=2015	business
01	“美·中·유럽 기업들도 씨앤앰에 높은 관심”	29	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50193&year=2015	stock
01	권익찬·김상윤 연구팀, 암세포만 죽이는 항암물질 개발	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50185&year=2015	economy
01	한우특화거리서 ‘한우’ 둔갑한 수입산	2	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50184&year=2015	economy
01	‘통상임금 판결’ 현대차 16일 숨죽인다	6	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50194&year=2015	business
01	[CEO 심리학] ‘다지선다’의 오류	71	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50210&year=2015	gen
01	[Insight] 요구만 맞추는 협상은 ‘No’ 욕구를 채워줘야 타깃 명중	82	3	http://news.mk.co.kr/news_forward.php?domain=news&no=50209&year=2015	gen
01	미국, 쿠바 금수해제·여행 자유화 시행	4	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50370&year=2015	international
01	"인천 어린이집 피해어린이 폭로 ""선생님 전에도…"""	0	18	http://news.mk.co.kr/news_forward.php?domain=news&no=52104&year=2015	society
01	전국 어린이집 CCTV 의무 설치	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=52497&year=2015	gen
01	다보스가 지목한 올해의 리스크는 ‘국가간 갈등’	4	0	http://news.mk.co.kr/news_forward.php?domain=news&no=52507&year=2015	economy
01	육군 일병, 공포탄 든 K2소총 들고 근무 이탈	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51783&year=2015	politics
01	"""핀테크 2~3년전 준비, 올해는 결실 볼 듯"""	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=52499&year=2015	business
01	전국 눈과 비, 중부지방부터 시작…체감온도 `뚝`	7	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51999&year=2015	culture
01	목포 육군 일병 탈영, K2 소총-공포탄 10발 소지…당국 추적 중	13	1	http://news.mk.co.kr/news_forward.php?domain=news&no=52024&year=2015	politics
01	"갤럽 ""朴대통령 지지율 35%…집권후 최저”"	0	3	http://news.mk.co.kr/news_forward.php?domain=news&no=52351&year=2015	politics
01	겨울철 건강관리, 홍삼이 제격인 이유는?	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=50819&year=2015	it
01	경기도 중소기업 지원사업, 이지비즈로 간편하게 신청	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51308&year=2015	business
01	계명대 김영규 교수, 대한관광경영학회 회장 선출	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51389&year=2015	society
01	국내소비자, 올해 상반기 경기 기대치 ‘소폭 상승’	2	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51392&year=2015	economy
01	이스타항공, 공항여객서비스 담당 자회사 이스타포트 설립	0	48	http://news.mk.co.kr/news_forward.php?domain=news&no=51322&year=2015	business
01	1톤 자이언트 호박, 탄생 비밀은 `혈통`…맛은 별로다?	4	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51222&year=2015	international
01	국민안전처, 긴급전화 112·119로 통폐합 추진	1	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51153&year=2015	society
01	금융투자협회, 투자자보호 의무교육으로 꼼수 부리나	29	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51959&year=2015	economy
01	커피로 그리는 세상 - 오징어의 노래	33	0	http://bigs.mk.co.kr/view.php?no=51954&year=2015	gen
01	2015년 캠핑사업 성공 마케팅 특강	7	0	http://news.mk.co.kr/news_forward.php?domain=news&no=51592&year=2015	business
01	"""취업자 증가세에도…청년 실업자 부쩍 늘어”(종합)"	0	3	http://news.mk.co.kr/news_forward.php?domain=news&no=42411&year=2015	economy
01	한은 기준금리, 동결 예상 속 `사상 최초` 1%대 금리 가능성도	1	4	http://news.mk.co.kr/news_forward.php?domain=news&no=42423&year=2015	economy
01	“커피는 고독보다 써야 한다”는 바보같은 믿음	32	2	http://bigs.mk.co.kr/view.php?no=42818&year=2015	gen
