media	title	n_facebook	o_facebook	total	org_url	thumbnail
edaily	[전문]문재인, 광주시민들께 드리는 글 “호남이 지지 거두면 정치은퇴·대선 불출마”	2392	0	2392	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JF21&newsid=02492806612614152&DCD=A00602&OutLnkChk=Y	none
donga	공민지 2NE1 탈퇴…‘잘한 선택’ VS ‘아쉽다’ 의견 갈려	0	2343	2343	http://news.donga.com/3/all/20160405/77411951/2	http://imgnews.naver.net/image/origin/020/2016/04/05/2961631.jpg
donga	김현 의원, 대리기사 폭행혐의 무죄 “업무방해 증거 없다”	2328	4	2332	http://news.donga.com/3/all/20160215/76455802/2	http://imgnews.naver.net/image/origin/020/2016/02/15/2945128.jpg
edaily	알파고도 완벽하지 않았다..이세돌 1승(1보)	2314	4	2318	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JE41&newsid=02276326612582992&DCD=A00504&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/03/13/3498513.jpg
edaily	하피스트 황세희, 美 `USA 국제하프 콩쿠르` 4위	2149	0	2149	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JI51&newsid=02751926612683688&DCD=A405&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/06/20/3568312.jpg
edaily	더민주, 오창석씨 영입..16번째 영입인사	2087	2	2089	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JF21&newsid=02856886612520016&DCD=A00602&OutLnkChk=Y	none
mbc	[앵커의 눈] '버려라, 삶이 가벼워진다' 정리하는 법 총정리	1833	187	2020	http://imnews.imbc.com/replay/2016/nwdesk/article/3872767_19842.html	http://imgnews.naver.net/image/origin/214/2016/02/03/587075.jpg
edaily	김용학 연세대 총장 “문·사·철 기초교육 강화할 것”	1822	1	1823	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JG21&newsid=03575206612546256&DCD=A00702&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/02/01/3466180.jpg
edaily	KT, 송중기와 새로운 GiGA 캠페인	0	1792	1792	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JE31&newsid=01525206612647280&DCD=A00503&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/05/09/3538210.jpg
edaily	한국사회복지협의회-스마트에프앤디, `청소년 나눔문화 확산` 협약	1559	0	1559	http://www.edaily.co.kr/news/NewsRead.edy?SCD=JG11&newsid=03352166612613168&DCD=A00701&OutLnkChk=Y	http://imgnews.naver.net/image/origin/018/2016/04/05/3515949.jpg
